Date,venue,City,State,Country,Recording Surfaced
3/12/1993,Senator Nat G. Kiefer University of New Orleans Lakefront Arena,New Orleans,LA,United States,Y
5/12/1993,Fairpark Coliseum,Dallas,TX,United States,Y
6/12/1993,Astroarena,Houston,TX,United States,N
8/12/1993,Travel and Transportation Building,Oklahoma City,OK,United States,Y
9/12/1993,Ak-Sar-Ben Coliseum,Omaha,NE,United States,N
10/12/1993,Roy Wilkins Auditorium,St. Paul,MN,United States,Y
13/12/1993,Pier 48 (MTV Live and Loud rehearsal),Seattle,WA,United States,Y
13/12/1993,Pier 48 (MTV Live and Loud rehearsals),Seattle,WA,United States,Y
13/12/1993,Pier 48 (MTV Live and Loud),Seattle,WA,United States,Y
14/12/1993,Salem Armory Auditorium,Salem,OR,United States,Y
15/12/1993,"The Pavilion, Boise State University",Boise,ID,United States,N
16/12/1993,Golden Spike Arena,Ogden,UT,United States,N
18/12/1993,Coliseum,Denver,CO,United States,Y
29/12/1993,San Diego Sports Arena,San Diego,CA,United States,Y
30/12/1993,Great Western Forum,Inglewood,CA,United States,Y
31/12/1993,Oakland-Alameda County Coliseum Arena,Oakland,CA,United States,Y
1/1/1994,"Compton Arena, Jackson County Fairgrounds/Expo Park",Central Point,OR,United States,N
3/1/1994,Pacific National Exhibition Forum,Vancouver,BC,Canada,N
4/1/1994,Pacific National Exhibition Forum,Vancouver,BC,Canada,Y
6/1/1994,Spokane Coliseum,Spokane,WA,United States,N
6/1/1994,Spokane Coliseum,Spokane,WA,United States,Y
7/1/1994,Seattle Center Arena,Seattle,WA,United States,Y
8/1/1994,Seattle Center Arena,Seattle,WA,United States,Y
4/2/1994,"Studio 3, Canal+ (Nulle Part Ailleurs)",Paris,,France,Y
6/2/1994,Pavilhão do Grupo Dramático e Sportivo de Cascais,Cascais,,Portugal,Y
8/2/1994,Pabellón de Deportes del Real Madrid,Madrid,,Spain,Y
9/2/1994,Palau Municipal dels Esports de Barcelona,Barcelona,,Spain,Y
10/2/1994,Palais des Sports,Toulouse,,France,Y
12/2/1994,Zénith Oméga,Toulon,,France,Y
14/2/1994,Zénith,Paris,,France,Y
16/2/1994,Salle Omnisports,Rennes,,France,Y
18/2/1994,Summum,Grenoble,,France,Y
19/2/1994,Patinoires du Littoral,Neuchâtel,,Switzerland ,N
21/2/1994,Palasport,Modena,,Italy,Y
22/2/1994,Palaghiaccio,Roma,,Italy,Y
23/2/1994,RAI Centro di Produzione TV Studi Nomentano (Tunnel),Roma,,Italy,Y
24/2/1994,Palatrussardi,Milano,,Italy,Y
25/2/1994,Palatrussardi,Milano,,Italy,Y
27/2/1994,Hala Tivoli,Ljubljana,,Slovenia,Y
1/3/1994,Terminal 1,Munich,,Germany,Y
1/3/1994,"Terminal 1, Flughafen München-Riem",Munich,,Germany,Y
